,AUFN_Faut,count,ph_wd_name,ph_wd_URI,gender,workplace,lat,lon,born,died
69,"Castelli, Giovanni",3,Giovanni Castelli,http://www.wikidata.org/entity/Q114793667,,,,,,
70,"Salviati, Paolo",3,Paolo Salviati,http://www.wikidata.org/entity/Q58242413,,Venice,45.4371908,12.3345898,1818,1894
71,Robertson & Beato,3,Robertson & Beato,http://www.wikidata.org/entity/Q108575519,,,,,,
72,Zedler & Vogel,3,Zedler and Vogel,,,,,,,
73,Paul des Granges,3,Paul des Granges,,,,,,,
74,"Daziaro, Joseph",3,Joseph Daziaro,http://www.wikidata.org/entity/Q109809384,,Moscow,55.7504461,37.6174943,1831,1892
75,"Valentine, James",3,James Valentine,http://www.wikidata.org/entity/Q3161454,,Tangier,35.7774341,-5.8032309,1815,1879
76,Vasari,2,Vasari,,,,,,,
77,"Stuffler, G.",2,G. Stuffler,,,,,,,
78,"Petagna, Michele",2,Michele Petagna,,,,,,,
79,"Noack, Alfred",2,Alfred Noack,http://www.wikidata.org/entity/Q216076,,Genoa,44.40726,8.9338624,1833,1895
80,"Geiser, Jean",2,Jean Geiser,http://www.wikidata.org/entity/Q12024349,,Algeria,28.0000272,2.9999825,1848,1923
81,"Unterverger, Giovanni Battista",2,Giovanni Battista Unterverger,,,,,,,
82,"Esposito, Fratelli",2, Esposito,,,,,,,
83,"De Mattia, Nicola",2,Nicola De Mattia,,,,,,,
84,"Bruno, Giuseppe",2,Giuseppe Bruno,http://www.wikidata.org/entity/Q3107998,,,,,,
85,Poulton Series,2,Poulton Series,,,,,,,
86,"Mackey, Peter Paul",2,Peter Paul Mackey,,,,,,,
87,"Wilson Washington, George",2,George Wilson Washington,,,,,,,
88,"Ponti, Carlo",2,Carlo Ponti,http://www.wikidata.org/entity/Q5017097,,,,,,
89,"Pallejá Domenech, Pere",2,Pere Pallejá Domenech,,,,,,,
90,"Beato, Antonio",1,Antonio Beato,http://www.wikidata.org/entity/Q2742241,,Luxor,25.702096,32.647186,1820,1903
91,"Dumaine, A.",1,A. Dumaine,,,,,,,
92,"Tessaro, François",1,François Tessaro,http://www.wikidata.org/entity/Q100324990,,,,,,
93,"James, Edith Emily Coulson",1,Edith Emily Coulson James,,,,,,,
94,Istituto Fotografico Antonio Fortunato Perini,1,Istituto Fotografico Antonio Fortunato Perini,,,,,,,
95,"De Rubeis, Francesco",1,Francesco De Rubeis,,,,,,,
96,"Brusa, Giovanni Battista",1,Giovanni Battista Brusa,http://www.wikidata.org/entity/Q105986035,,Milan,45.4641943,9.1896346,1830,1920
97,Sommer & Behles,1,Sommer and Behles,http://www.wikidata.org/entity/Q7560449,,,,,,
