,place,lat,lon
140,Terlizzi,41.1302336,16.5424713
141,Monte Sant'Angelo,41.70544,15.967657
142,Monreale,38.0826321,13.2919931
143,Lucca,44.017763900000006,10.454430026192636
144,Trapani,38.0174321,12.515992
145,Santa Flavia,38.0813306,13.5254399
146,Enna,37.5667573,14.2807473
147,Messina,38.1937571,15.5542082
148,Siracusa,37.0646139,15.2907196
149,Agrigento,37.3122991,13.57465
150,Taormina,37.8517921,15.2856523
151,Castelvetrano,37.6828513,12.7955336
152,Calatafimi,37.9136378,12.8618933
153,Nicosia,35.1748976,33.3638568
154,Bivona,37.6173969,13.4397692
155,Cefalù,38.034957,14.0244562
156,Catania,37.5023612,15.0873718
157,Erice,38.0382301,12.5871823
158,Venezia,45.4371908,12.3345898
159,Pietrasanta,43.9589031,10.2332031
160,Empoli,43.7194884,10.9458556
161,Murano,45.4554971,12.3510992
162,San Quirico d'Orcia,43.0593353,11.6044087
163,Torcello,45.497145450000005,12.415284759194268
164,Verona,45.4384958,10.9924122
165,Vicenza,45.63485905,11.40635425660249
166,Padova,45.4077172,11.8734455
167,Treviso,45.80669135,12.206315763116372
168,Arquà Petrarca,45.2700441,11.7165149
169,Spoleto,42.7355124,12.7363357
170,Perugia,43.1070321,12.402996209906489
171,Barga,44.0739178,10.484263
172,Gubbio,43.3517882,12.5772674
173,Fosdinovo,44.13382,10.018869
174,Castiglione del Lago,43.127141,12.04525
175,Orvieto,42.7186152,12.1087907
176,Orbetello,42.4380944,11.2107429
177,Spello,42.9909451,12.6717751
178,Todi,42.7824434,12.4062554
179,Atene,37.9839412,23.7283052
180,Foligno,42.9561825,12.703334
181,Città di Castello,43.4574214,12.2403118
182,Bolsena,42.6441069,11.9849554
183,Narni,42.5195891,12.5152257
184,Campello sul Clitunno,42.8228682,12.7762635
185,Micene,37.7299728,22.7582747
186,Delfi,38.54244935,22.409566177659936
187,Eleusi,38.047608,23.5348663
188,Corfù,39.591337,19.85961891873385
189,Olimpia,37.6382503,21.630566024011667
190,Nemea,37.8209952,22.6613055
191,Sparta,37.08114525,22.42486178272022
192,Messene,38.1937571,15.5542082
193,Corinto,37.9385413,22.9273768
194,Oichalia,37.323853,21.93149563126859
195,Epidauro,-21.6011142,-46.89245562280915
196,Megalopoli,37.4012364,22.1356726
197,Cheronea,,
198,Capo Sunio,,
199,Tirinto,37.5962781,22.7994306
200,Elliniko,41.0012872,23.1063763
201,Kalambaka,39.7030141,21.6253598
202,Thorikos,37.7297577,24.0632213
203,Egina,37.72436935,23.49381092123372
204,Eleutere,,
205,Maratona,-22.362077,47.8843188
