,ent,count
0,Boetia,2
1,St,2
2,Sparta,2
3,Pierparis,1
4,Parthenon,1
5,Athenes,1
6,Signori,1
7,Propylaea,1
8,Staurt,1
9,Spartan,1
10,Fried,1
11,Clytemnestra,1
12,Menelaus,1
13,Eletra,1
14,Frascati,1
15,Naxos,1
16,Villa Mondragone,1
17,Palazzo Borghese,1
18,Louvre,1
19,Lemnia,1
20,Golden Horn,1
21,Constantinople,1
22,Monasterboice,1
23,Kevins,1
24,Kitchen,1
25,Theodorina Cibo,1
26,West fronton of the,1
27,Sirena,1
28,Pastum,1
29,Servans Latio,1
30,Prima Porta,1
31,Gallinas,1
32,Virgils,1
33,Ille,1
34,Vitelleschi,1
35,Vitelleschis,1
36,Corneto,1
37,dell'Arco,1
38,Volterra,1
39,Monte Catino,1
40,Platonicum,1
41,Feb,1
42,Central Museum,1
43,S. Apostoli,1
44,Museo Lateranense,1
45,Casuccini,1
46,Chiusi,1
47,Duomo,1
48,Palermo,1
49,Pantheon,1
50,Venice,1
51,Museo Civico,1
52,Countess Marcello,1
53,Grimani,1
54,Certosa,1
