,ent,count
328,Palazzo della Ragione,2
329,Galleria delle Statue,2
330,Palazzo Pubblico,2
331,Tostado,2
332,Spoleto,2
333,Fitzwilliam Museum,1
334,aiguille,1
335,Cambridge,1
336,Pubblico,1
337,Sodoma,1
338,Igelstein,1
339,aguglia,1
340,"G.A. Bazzi)"".---",1
341,Magnifico,1
342,Treves,1
343,Turk,1
344,diameter,1
345,La Lupa,1
346,Curia,1
347,Central Museum Athens,1
348,Philotera,1
349,torre Guelfa,1
350,Niobes,1
351,Servi,1
352,Aixone,1
353,Law,1
354,Araymone,1
355,Liechtenstein,1
356,Henneberg,1
357,Fessaq,1
358,Grosser,1
359,Agia Triada,1
360,West fronton of the,1
361,Signori,1
362,North West,1
363,Promachos,1
364,Agamennon,1
365,Lion-gate,1
366,Schutzen,1
367,Virgine,1
368,Duomo of Siena,1
369,Pulpit,1
370,Baptistery,1
371,Staurt,1
372,Ganymede,1
373,Propylaia,1
374,Pomeranian,1
375,Arnth,1
376,Diadumenos of Polikleitos,1
377,Messene,1
378,Ridder,1
379,ponte della Pietra,1
380,Santa Caterina di Siena,1
381,Kerameika,1
382,Theodorina Cibo,1
383,Found,1
384,S. W.,1
385,Clytemnestra,1
386,Menelaus,1
387,Eletra,1
388,Pierparis,1
389,Sparta Museum,1
390,pont de Notre Dame,1
391,Palazzo del Consiglio,1
392,Palazzo del Magnifico,1
393,Hinc,1
394,8'wide,1
395,base,1
396,Marte,1
397,Morea,1
398,Lebadeia,1
399,Marchia,1
400,Anylos,1
401,Overbeek,1
402,Lykosoura,1
403,Scalas,1
404,Lavorato,1
405,Hygia,1
406,Bari,1
407,Aginetan,1
408,Schwarzburg,1
409,Adige,1
410,epochs,1
411,Museum at Athens,1
412,Aventino Fracastoro,1
413,Monument of Demetria and Pamphile,1
414,Paleopolis,1
415,Korkyra,1
416,Corinth,1
417,Sillas,1
418,Sistrum,1
419,Monument of Eukoline,1
420,Jadra,1
421,Protonoe,1
422,Tiepoli,1
423,Glyptothek of Munich,1
424,Treviso,1
425,Gallipoli,1
426,Costantinople,1
427,Edicola del Crocifisso,1
428,Nikostrate,1
429,Gennaio,1
430,Germanisches Museum,1
431,Philia,1
432,Nemea,1
433,Pireus,1
434,Benedectine,1
435,Berlin Museum,1
436,Piazza dei Signori,1
437,Igel,1
438,Corte Vecchia of the Abbazia,1
439,Florentine Niobids,1
440,"golden"".---",1
441,Attos,1
442,Foligno,1
443,Danese Cattaneo,1
444,Zanipolo,1
445,Palazzo Ducale Venezia,1
446,A.10,1
447,Vestibule,1
448,Bambino,1
449,Venezia Acc.a,1
450,Palma Vecchio,1
451,Moskophore,1
452,Naim,1
453,Conegliano Venezia Ac,1
454,Edeia,1
455,Ganimede,1
456,Soderini,1
457,villa Casali,1
458,Akrop,1
459,Zuccone,1
460,Lekythos,1
461,Peisia,1
462,Velanitza,1
463,Count Ugos,1
464,Massegne,1
465,Grimani,1
466,Reproduced,1
467,Countess Marcello,1
468,Firenze,1
