,ent,count
1277,S. Giustina,1
1278,"Rio Della Fava"".---",1
1279,Palazzo on Rio della Fava,1
1280,Falieri,1
1281,Ponte S.S. Apostoli,1
1282,Corte d'Appello,1
1283,Palazzo Minelli,1
1284,Maltraggi,1
1285,Comunale,1
1286,Chiesa di S. Giovanni,1
1287,Casa Dario,1
1288,Cecco,1
1289,Duomo of Prato,1
1290,Zaccaria,1
1291,porta dei Forni,1
1292,Palazzo Contarini del Bovolo,1
1293,Library and Museum,1
1294,Santa Caterina Benincasa,1
1295,Piccolomini Altar,1
1296,Scala,1
1297,Lambertini,1
1298,Scaligers,1
1299,Says Street,1
1300,Palazzo Tolomei,1
1301,Torcello,1
1302,Foro,1
1303,Minelli,1
1304,torre del Mangia,1
1305,Murano,1
1306,Aragazzi,1
1307,Duomo of Pistoia,1
1308,Majos,1
1309,Christum,1
1310,Campanile at Pisa,1
1311,Arsenale,1
1312,San Gimignano,1
1313,Palazzo Corvaja,1
1314,Cecilia,1
1315,Monastero,1
1316,Febr,1
1317,Europa,1
1318,Subyeet,1
1319,Sphinx,1
1320,Convent della Maddalena di Corleone,1
1321,PaternÃ²,1
1322,Como,1
1323,Borgo S.,1
1324,Catena,1
1325,Santo Carcere,1
1326,Countess Zamoyska,1
1327,Osservanti,1
1328,San Donato,1
1329,S.t Donato,1
1330,A. DD,1
1331,Borgherini,1
1332,Palazzo Contarini Fasan,1
1333,S. Giorgio degli Schiavoni,1
1334,Ossa,1
1335,Salvucci,1
1336,Rognosa,1
1337,Orinolo,1
1338,Salvorelli,1
1339,Towers of the Podesta,1
1340,Gemin,1
1341,Divi Barthom,1
1342,Santa Maria de' Miracoli,1
1343,Contarini,1
1344,S. Cassiano,1
1345,Masegne,1
1346,Palazzo Pesaro,1
1347,ponte del Paradiso,1
1348,Cortile de' Senatori,1
1349,Porta d'ingresso della Sala del Consistorio,1
1350,Fasan,1
1351,Chiesa di S. Casciano,1
1352,Goro di Neroccio,1
1353,Farnesina,1
1354,Speranza di Donatello,1
1355,Vecchio Florence,1
1356,Olympus,1
1357,Claudian Aqueduct A. D. 60,1
1358,Dolabella,1
1359,Teofilato,1
1360,Hawkwood,1
1361,negÃ²,1
1362,Black / Princes,1
1363,Servans Latio,1
1364,Platonicum,1
1365,Palazzo dei Priori,1
1366,Palace of the Capitano di Giustizia,1
1367,Pretorio,1
1368,palazzo dei Priori,1
1369,Entrance,1
1370,"Pio II"".---",1
1371,Piviale,1
1372,Monastery of the Badia,1
1373,Bocca di Ferro,1
1374,Bolognese,1
1375,palazzo Margana,1
1376,palazzo dei Conservatori,1
1377,Admiralty,1
1378,San Gregorio,1
1379,Calpurnii Pisones,1
1380,Arco Salara,1
1381,Porta Trigemina,1
1382,Philipi,1
1383,Margani,1
1384,La Castagna,1
1385,Porta Latina,1
1386,Vigna Codini,1
1387,Columbaria,1
1388,Torre & Casa degli / Aldighieri,1
1389,S. Mrgherita,1
1390,Poets',1
1391,Torre di Dante,1
1392,Chr,1
1393,Flavia Publicia,1
1394,Porta dell'Arco,1
1395,Lauro,1
1396,Tyber,1
1397,Casentino,1
1398,Francorum,1
1399,Castle of S. Angelo,1
1400,Ringhiera,1
1401,Torre del Comune,1
1402,Gemignano,1
1403,Dom,1
1404,Cappella of Santa Caterina,1
1405,Vicenza,1
1406,Banco Mediceo,1
1407,Brera Museum,1
1408,Neapolis,1
1409,Modena,1
1410,Via Nazionale,1
1411,Luc,1
1412,Cappella delle Anime,1
1413,Cesareo,1
1414,Monte Catino,1
1415,Vivarium,1
1416,Palazzo Riccardi,1
1417,Madonna delle Grazie,1
1418,Pretura,1
1419,Misericordia,1
1420,Ciborio,1
1421,Monte Amiata,1
1422,Fiora,1
1423,Chiesa degli Angeli,1
1424,Palazzo Torlonia giÃ  Giraud,1
1425,Sept,1
1426,Theveste,1
1427,Tebessa,1
1428,Nomentano,1
1429,Sta Fiora,1
1430,Battesimali,1
1431,Predella,1
1432,Arnieri,1
1433,Arte de' Medici,1
1434,Catellini da Castiglione,1
1435,Feb,1
1436,Scuola dei Della,1
1437,Piazza Navona,1
1438,San Giacomo degli Spagnuoli,1
1439,Raphael,1
1440,Cortona,1
1441,S. Andrea,1
1442,S. Apostoli,1
1443,Sistine,1
1444,Aventino,1
1445,Peters,1
1446,Sacre Grotte,1
1447,Museo Chiaramonti Vatican,1
1448,Subject,1
1449,Palazzetto,1
1450,Palazzo Mattei,1
1451,Cervini,1
1452,Animarum,1
1453,Bodlein,1
1454,Pergamon,1
1455,Costruito,1
1456,La Fede,1
1457,Turino,1
1458,bronzo,1
1459,Rinascimento,1
1460,Battesimale di,1
1461,d'Ognissanti,1
1462,Com.ne di Borgo,1
1463,Palazzo Vecchio,1
1464,Viper,1
1465,Palazzo Publico,1
1466,Carrands Collection,1
1467,Ocean,1
1468,Kunstkammer,1
1469,Formis,1
1470,Milan Cathedral,1
1471,Grand Pope,1
1472,Niobids,1
1473,Porta Maggiore,1
1474,Zamora,1
1475,abou1450,1
1476,Perkins,1
1477,Roman Knight,1
1478,Tor de' Forti,1
1479,Counts of Anguillara,1
1480,S. Anastasia,1
1481,La Fiammetta,1
1482,Scapucci palace,1
1483,Scimmia,1
1484,Museo nazionale,1
1485,Leonine city,1
1486,Proserpina,1
1487,Pentesilea,1
1488,Reparata,1
1489,Santa,1
1490,Palencia,1
1491,"Monument of Juan de Mela"".---",1
1492,Rovere,1
1493,Lisbon,1
1494,Museum of Leyden,1
1495,Porta di San Lorenzo,1
1496,Griffon,1
1497,Kedule,1
1498,Polyklet,1
1499,Says Collignon,1
1500,Myror,1
1501,Etrusco,1
1502,Fioravanti,1
1503,Porta di San Paolo,1
1504,Salerno,1
1505,Porta San Sebastiano,1
1506,Capo de Bove,1
1507,Torre de Bove,1
1508,Orante,1
1509,Museo Archeologico di Firenze,1
1510,Museum at Florence,1
1511,Nicosia,1
1512,baldocchino,1
